id,name,description,stage,type,weakness,hp,move1,move2,move3,move4
1,Bulbasaur,A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokemon.,1,Grass,Fire,200,Vine Whip,Growl,Amnesia,Magical Leaf
2,Ivysaur,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",2,Grass,Fire,230,Razor Leaf,Magical Leaf,Venoshock,Growl
3,Venusaur,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,3,Grass,Fire,160,Razor Leaf,,,
4,Charmander,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.",1,Fire,Water,188,Ember,Dragon Rage,Growl,Scratch
5,Charmeleon,"When it swings its burning tail, it elevates the temperature to unbearably high levels.",2,Fire,Water,226,Dragon Rage,Flame Burst,Smokescreen,Slash
6,Charizard,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,3,Fire,Water,266,Flare Blitz,Smokescreen,Slash,Air Slash
7,Squirtle,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.",1,Water,Grass,198,Bite,Water Gun,Tackle,Withdraw
8,Wartortle,It cleverly controls its furry ears and tail to maintain its balance while swimming.,2,Water,Grass,160,Bite,Water Pulse,Iron Defense,Tackle
9,Blastoise,The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.,3,Water,Grass,268,Bite,Hydro Pump,Withdraw,Flash Cannon
10,Caterpie,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,1,Grass,Fire,200,Tackle,Bug Bite,,
11,Metapod,A steel-hard shell protects its tender body. It quietly endures hardships while awaiting evolution.,2,Grass,Fire,160,Harden,Tackle,,
12,Butterfree,"In battle, it flaps its wings at high speed to release highly toxic dust into the air.",3,Flying,Fire,230,Psybeam,Gust,Silver Wind,Double Team
13,Weedle,Its poison stinger is very powerful. Its bright-colored body is intended to warn off its enemies.,1,Grass,Fire,160,Poison String,Bug Bite,,
14,Kakuna,"While awaiting evolution, it hides from predators under leaves and in nooks of branches.",2,Grass,Fire,200,Harden,Tackle,,
15,Beedrill,Flies at high speed and attacks using its large venomous stingers on its forelegs and tail.,3,Flying,Fire,240,Twineedle,Pursuit,Venoshock,Swords Dance
16,Pidgey,"It usually hides in tall grass. Because it dislikes fighting, it protects itself by kicking up sand.",1,Flying,Electric,160,Peck,Quick Attack,Sand Attack,
17,Pidgeotto,"It has outstanding vision. However high it flies, it is able to distinguish the movements of its prey.",2,Flying,Electric,160,Wing Attack,Sand Attack,,
18,Pidgeot,It spreads its gorgeous wings widely to intimidate enemies. It races through the skies at Mach-2 speed.,3,Flying,Electric,160,Quick Attack,Sand Attack,,
19,Rattata,"Bites anything when it attacks. Small and very quick, it is a common sight in many places.",1,Normal,Fighting,160,Bite,Tackle,,
20,Raticate,"Its whiskers help it to maintain balance. Its fangs never stop growing, so it gnaws to pare them down.",2,Normal,Fighting,160,Quick Attack,Assurance,,
21,Spearow,"Inept at flying high. However, it can fly around very fast to protect its territory.",1,Flying,Electric,160,Peck,Growl,Tackle,
22,Fearow,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest.",2,Flying,Electric,240,Drill Peck,Drill Run,Leer,Assurance
23,Ekans,"It always hides in grass. When first born, it has no poison, so its bite is painful, but harmless.",1,Poison,Psychic,180,Acid,Mud Bomb,Bite,Leer
24,Arbok,It is rumored that the ferocious warning markings on its belly differ from area to area.,2,Poison,Psychic,230,Bite,Screech,Acid,Thunder Fang
25,Pikachu,"El's favorite Pokemon! When several Pikachu gather, their electricity could build and cause lightning storms.",1,Electric,Ground,160,Growl,Thunderbolt,Quick Attack,
26,Raichu,Its long tail serves as a ground to protect itself from its own high voltage power.,2,Electric,Ground,160,Thunderbolt,Quick Attack,Tackle,Thunder
